,State,Year,District,Dem Votes,GOP Votes,D Voteshare
0,AK,2016,District B,7336,8429,0.4653346019663812
1,AK,2016,District D,0,11689,0.0
2,AK,2016,District F,0,12284,0.0
3,AK,2016,District H,6125,4674,0.5671821464950458
4,AK,2016,District J,8103,0,1.0
5,AK,2016,District L,5971,7645,0.43852820211515864
6,AK,2016,District N,0,9570,0.0
7,AK,2016,District P,0,12950,0.0
8,AK,2016,District R,0,12882,0.0
9,AK,2016,District T,8603,0,1.0
10,AR,2016,District 22,9477,14453,0.3960300877559549
11,AR,2016,District 26,21040,0,1.0
12,AR,2016,District 27,13986,16803,0.45425314235603625
13,AR,2016,District 32,28082,0,1.0
14,AR,2016,District 34,15541,21497,0.419596090501647
15,AZ,2016,District 1,0,87011,0.0
16,AZ,2016,District 10,50850,43526,0.5388022378570823
17,AZ,2016,District 11,40390,59475,0.4044460021028388
18,AZ,2016,District 12,37178,69356,0.3489777911277151
19,AZ,2016,District 13,0,62124,0.0
20,AZ,2016,District 14,32229,54084,0.3733968231900177
21,AZ,2016,District 15,36414,62691,0.3674284849402149
22,AZ,2016,District 16,30180,56096,0.34980759423246327
23,AZ,2016,District 17,41676,54454,0.43353791740351605
24,AZ,2016,District 18,53962,50935,0.5144284393261962
25,AZ,2016,District 19,38817,0,1.0
26,AZ,2016,District 2,39693,27066,0.594571518446951
27,AZ,2016,District 20,28987,40122,0.4194388574570606
28,AZ,2016,District 21,0,64404,0.0
29,AZ,2016,District 22,38620,71863,0.3495560402957921
30,AZ,2016,District 23,0,88099,0.0
31,AZ,2016,District 24,54351,0,1.0
32,AZ,2016,District 25,0,69914,0.0
33,AZ,2016,District 26,40995,0,1.0
34,AZ,2016,District 27,40085,0,1.0
35,AZ,2016,District 28,48124,50436,0.4882711038961039
36,AZ,2016,District 29,29638,13615,0.6852241463019906
37,AZ,2016,District 3,48887,0,1.0
38,AZ,2016,District 30,27941,14152,0.6637920794431378
39,AZ,2016,District 4,37668,0,1.0
40,AZ,2016,District 5,0,62615,0.0
41,AZ,2016,District 6,47557,49318,0.4909109677419355
42,AZ,2016,District 7,54421,0,1.0
43,AZ,2016,District 8,28585,32366,0.46898328165247494
44,AZ,2016,District 9,68109,0,1.0
45,CA,2016,District 1,323004,574628,0.35984011265195537
46,CA,2016,District 11,410778,0,1.0
47,CA,2016,District 13,592800,188538,0.7586985401964322
48,CA,2016,District 15,313531,0,1.0
49,CA,2016,District 17,537612,282678,0.6553926050543101
50,CA,2016,District 19,449668,263196,0.6307907258607532
51,CA,2016,District 21,285772,320086,0.47168148311980695
52,CA,2016,District 23,283066,368940,0.4341463115370104
53,CA,2016,District 25,436484,318028,0.5784984201709185
54,CA,2016,District 27,437310,345654,0.5585314267322635
55,CA,2016,District 29,320460,315464,0.5039281423566339
56,CA,2016,District 3,357628,0,1.0
57,CA,2016,District 31,335148,218476,0.6053711544297212
58,CA,2016,District 33,355942,0,1.0
59,CA,2016,District 35,252808,0,1.0
60,CA,2016,District 37,344910,456960,0.43013206629503536
61,CA,2016,District 39,517372,310106,0.6252395834088641
62,CA,2016,District 5,349694,267208,0.5668550272166406
63,CA,2016,District 7,540970,270244,0.666864723735044
64,CA,2016,District 9,379706,0,1.0
65,CO,2016,District 10,24430,47832,0.3380753369682544
66,CO,2016,District 12,0,45938,0.0
67,CO,2016,District 14,52902,32886,0.6166596726814939
68,CO,2016,District 17,57649,0,1.0
69,CO,2016,District 18,67799,17370,0.7960525543331494
70,CO,2016,District 19,39070,37592,0.5096397172001774
71,CO,2016,District 21,38428,352,0.9909231562661166
72,CO,2016,District 23,40281,55528,0.42043023098038806
73,CO,2016,District 25,27678,30074,0.47925612965784736
74,CO,2016,District 26,42145,36666,0.5347603760896321
75,CO,2016,District 27,38489,44169,0.46564155919572214
76,CO,2016,District 28,39143,31096,0.5572829909309642
77,CO,2016,District 29,30998,22503,0.579391039419824
78,CO,2016,District 31,57793,25268,0.695789841201045
79,CO,2016,District 33,57049,12564,0.8195164696249264
80,CO,2016,District 35,23358,38880,0.37530126289405186
81,CO,2016,District 4,27779,62981,0.3060709563684442
82,CO,2016,District 8,32530,39526,0.4514544243366271
83,CT,2016,District 1,20437,6052,0.7715278039941108
84,CT,2016,District 10,26153,0,1.0
85,CT,2016,District 11,28731,0,1.0
86,CT,2016,District 12,32089,21208,0.6020789162617033
87,CT,2016,District 13,20866,21761,0.4895019588523706
88,CT,2016,District 14,26549,20836,0.5602827899124195
89,CT,2016,District 15,20312,0,1.0
90,CT,2016,District 16,17966,29610,0.377627375147133
91,CT,2016,District 17,20769,21602,0.49017016355526183
