State,Year,District,Dem Votes,GOP Votes,D Voteshare,Incumbent,Party
AR,2016,District 10,4024,7043,0.36360350591849644,0,R
AR,2016,District 14,5391,5867,0.4788594777047433,0,R
AR,2016,District 15,0,9816,0.0,0,R
AR,2016,District 18,5088,6499,0.4391127988262708,0,R
AR,2016,District 20,0,8936,0.0,0,R
AR,2016,District 25,4208,5973,0.41331892741381004,0,R
AR,2016,District 27,3748,8711,0.30082671161409424,0,R
AR,2016,District 29,6844,0,1.0,0,D
AR,2016,District 3,3872,5311,0.42164869868234783,0,R
AR,2016,District 32,6559,8435,0.43744164332399627,0,R
AR,2016,District 33,9472,0,1.0,0,D
AR,2016,District 38,6466,7019,0.47949573600296624,0,R
AR,2016,District 39,6223,7318,0.4595672402333653,0,R
AR,2016,District 4,2485,6805,0.267491926803014,0,R
AR,2016,District 42,5100,3622,0.5847282733318047,0,D
AR,2016,District 44,0,9243,0.0,0,R
AR,2016,District 49,4411,5539,0.4433165829145729,0,R
AR,2016,District 54,2259,6490,0.25820093724997145,0,R
AR,2016,District 57,3351,6496,0.34030669239362243,0,R
AR,2016,District 58,5153,6448,0.4441858460477545,0,R
AR,2016,District 6,0,6837,0.0,0,R
AR,2016,District 60,4948,5112,0.4918489065606362,0,R
AR,2016,District 61,5559,4996,0.5266698247276173,0,D
AR,2016,District 69,4344,6088,0.41641104294478526,0,R
AR,2016,District 7,3827,5606,0.405703381744938,0,R
AR,2016,District 72,6315,4239,0.5983513359863559,0,D
AR,2016,District 73,2094,6536,0.24264194669756664,0,R
AR,2016,District 77,0,7133,0.0,0,R
AR,2016,District 81,3187,8259,0.27843788222959986,0,R
AR,2016,District 85,7453,6624,0.5294451942885559,0,D
AR,2016,District 89,2210,2823,0.43910192727995234,0,R
AR,2016,District 9,15364,0,1.0,0,D
AR,2016,District 94,4136,4926,0.4564113882145222,0,R
AR,2016,District 95,0,10012,0.0,0,R
AR,2016,District 96,0,7299,0.0,0,R
AR,2016,District 99,0,8086,0.0,0,R
CA,2016,District 1,0,297314,0.0,0,R
CA,2016,District 10,280414,0,1.0,0,D
CA,2016,District 11,223184,124454,0.642001162128421,0,D
CA,2016,District 12,0,163360,0.0,0,R
CA,2016,District 13,172630,93766,0.6480202405441523,0,D
CA,2016,District 14,215306,0,1.0,0,D
CA,2016,District 15,379060,45056,0.8937649133727565,0,D
CA,2016,District 16,204580,259170,0.44114285714285717,0,R
CA,2016,District 17,344306,54834,0.8626196322092499,0,D
CA,2016,District 18,312326,46546,0.8702991595889342,0,D
CA,2016,District 19,300104,74360,0.8014228337036404,0,D
CA,2016,District 2,276040,0,1.0,0,D
CA,2016,District 20,228002,79014,0.7426388201266384,0,D
CA,2016,District 21,171980,74460,0.6978574906670995,0,D
CA,2016,District 22,296578,102092,0.7439185291092884,0,D
CA,2016,District 23,0,250306,0.0,0,R
CA,2016,District 24,184838,0,1.0,0,D
CA,2016,District 25,215642,80560,0.7280234434608814,0,D
CA,2016,District 26,88410,152578,0.36686474015303666,0,R
CA,2016,District 27,143392,0,1.0,0,D
CA,2016,District 28,273094,117282,0.6995665717154743,0,D
CA,2016,District 29,313406,120490,0.7223067278794919,0,D
CA,2016,District 3,127734,217820,0.3696498955300763,0,R
CA,2016,District 30,159770,0,1.0,0,D
CA,2016,District 31,124808,70908,0.6376995237997916,0,D
CA,2016,District 32,106112,57004,0.6505309105176684,0,D
CA,2016,District 33,112172,168000,0.40036834515940206,0,R
CA,2016,District 34,90610,247918,0.26765880518007373,0,R
CA,2016,District 35,174336,210494,0.45302081438557285,0,R
CA,2016,District 36,137510,155602,0.46913807691257947,0,R
CA,2016,District 37,256688,0,1.0,0,D
CA,2016,District 38,183602,205954,0.47131092833892946,0,R
CA,2016,District 39,149668,0,1.0,0,D
CA,2016,District 4,237544,136340,0.6353414428004408,0,D
CA,2016,District 40,149178,153074,0.4935550467821553,0,R
CA,2016,District 41,241266,157634,0.6048282777638506,0,D
CA,2016,District 42,145162,195728,0.42583237994661033,0,R
CA,2016,District 43,212372,0,1.0,0,D
CA,2016,District 44,214168,148834,0.5899912397176875,0,D
CA,2016,District 45,222296,112514,0.6639467160479078,0,D
CA,2016,District 46,155174,0,1.0,0,D
CA,2016,District 47,124864,0,1.0,0,D
CA,2016,District 48,174642,97844,0.6409210014459459,0,D
CA,2016,District 49,165928,71066,0.7001358684186098,0,D
CA,2016,District 5,133898,243288,0.3549919668280371,0,R
CA,2016,District 50,317934,108032,0.7463835141771878,0,D
CA,2016,District 51,220072,0,1.0,0,D
CA,2016,District 52,129672,0,1.0,0,D
CA,2016,District 53,101916,0,1.0,0,D
CA,2016,District 54,293446,66238,0.8158439074298551,0,D
CA,2016,District 55,144942,197920,0.4227415111619252,0,R
CA,2016,District 56,186180,0,1.0,0,D
CA,2016,District 57,186678,111154,0.6267895995057616,0,D
CA,2016,District 58,210340,68898,0.7532642405403276,0,D
CA,2016,District 59,154648,0,1.0,0,D
CA,2016,District 6,163838,298830,0.354115694191083,0,R
CA,2016,District 60,154808,129420,0.5446613282294496,0,D
CA,2016,District 61,181326,93848,0.6589503368777574,0,D
CA,2016,District 62,247398,55256,0.8174284826898042,0,D
CA,2016,District 63,178268,51360,0.7763338965631369,0,D
CA,2016,District 64,172838,62600,0.7341125901511226,0,D
CA,2016,District 65,159308,139882,0.5324643203315619,0,D
CA,2016,District 66,210672,178616,0.5411726022893076,0,D
CA,2016,District 67,121992,215308,0.3616721019863623,0,R
CA,2016,District 68,150462,228420,0.39712100337308187,0,R
