State,Year,District,Dem Votes,GOP Votes,D Voteshare,Incumbent,Party
AK,2018,1,131199.0,149779.0,0.4669369132102869,R,R
AL,2018,1,89226.0,153228.0,0.3680120765176075,R,R
AL,2018,2,86931.0,138879.0,0.3849740932642487,R,R
AL,2018,3,83996.0,147770.0,0.3624172656903946,R,R
AL,2018,4,46492.0,184255.0,0.20148474303024524,R,R
AL,2018,5,101388.0,159063.0,0.3892785975097043,R,R
AL,2018,6,85644.0,192542.0,0.30786596018491225,R,R
AL,2018,7,185010.0,0.0,1.0,D,D
AR,2018,1,57907.0,138757.0,0.2944463653744457,R,R
AR,2018,2,116135.0,132125.0,0.467795859179892,R,R
AR,2018,3,74952.0,148717.0,0.33510231636927784,R,R
AR,2018,4,63984.0,136740.0,0.31876606683804626,R,R
AZ,2018,1,143240.0,122784.0,0.5384476588578474,D,D
AZ,2018,2,161000.0,133083.0,0.5474644913170772,O,D
AZ,2018,3,114650.0,64868.0,0.6386546195924643,D,D
AZ,2018,4,84521.0,188842.0,0.3091896123469526,R,R
AZ,2018,5,127027.0,186037.0,0.4057540950093272,R,R
AZ,2018,6,140559.0,173140.0,0.4480696463807663,R,R
AZ,2018,7,113044.0,301.0,0.9973443910185716,D,D
AZ,2018,8,135569.0,168835.0,0.4453587994901512,R,R
AZ,2018,9,159583.0,101662.0,0.6108557101571322,O,D
CA,2018,1,131548.0,160046.0,0.4511341111271151,R,R
CA,2018,2,243081.0,72576.0,0.7700795483705415,D,D
CA,2018,3,134875.0,97376.0,0.5807294694102502,D,D
CA,2018,4,156253.0,184401.0,0.4586853522929424,R,R
CA,2018,5,205860.0,0.0,1.0,D,D
CA,2018,6,201939.0,0.0,1.0,D,D
CA,2018,7,155016.0,126601.0,0.550449724270907,D,D
CA,2018,8,0.0,170785.0,0.0,R,R
CA,2018,9,113414.0,87349.0,0.5649148498478306,D,D
CA,2018,10,115945.0,105955.0,0.5225101397025688,R,D
CA,2018,11,204369.0,71312.0,0.7413242116794411,D,D
CA,2018,12,275292.0,41780.0,0.8682318211636474,D,D
CA,2018,13,260580.0,0.0,1.0,D,D
CA,2018,14,211384.0,55439.0,0.7922255577667593,D,D
CA,2018,15,177989.0,65940.0,0.7296754383447642,D,D
CA,2018,16,82266.0,60693.0,0.5754517029358067,D,D
CA,2018,17,159105.0,52057.0,0.753473636355026,D,D
CA,2018,18,225142.0,77096.0,0.7449162580482931,D,D
CA,2018,19,162496.0,57823.0,0.7375487361507632,D,D
CA,2018,20,183677.0,0.0,1.0,D,D
CA,2018,21,57239.0,56377.0,0.5037934797915786,R,D
CA,2018,22,105136.0,117243.0,0.4727784548001385,R,R
CA,2018,23,74661.0,131113.0,0.3628300951529348,R,R
CA,2018,24,166550.0,117881.0,0.5855550203740099,D,D
CA,2018,25,133209.0,111813.0,0.5436613855082401,R,D
CA,2018,26,158216.0,97210.0,0.6194201060189644,D,D
CA,2018,27,202636.0,0.0,1.0,D,D
CA,2018,28,196662.0,54272.0,0.7837200219978162,D,D
