State,n_seats,seats_d,avg_win_d,n_uncontested_d,seats_r,avg_win_r,n_uncontested_r,voteshare_d,weighted_voteshare,t_test_p,non_parametric_p,mean_median_diff,efficiency_gap,partisan_bias
AR,45.0,10.0,0.6670707213475551,2,35.0,0.669950304041209,3,0.40494325715629403,0.39843159878654244,0.5227723131515135,0.15934789182025638,0.017829653399935697,0.08766429209036607,0.033333333333333326
CA,80.0,60.0,0.7950981312159761,21,20.0,0.5782735090451567,0,0.701755221150693,0.6645389084864501,0.9999998486575937,1.3660152788225774e-07,0.003312366244777154,0.1535104423013855,0.0
CO,65.0,41.0,0.7040369747412358,7,24.0,0.6403752768461889,1,0.5768693741551101,0.5677147140047427,0.9571669721165823,0.12374195829088747,-0.01076772519533209,0.022969517540988815,-0.038461538461538436
CT,151.0,93.0,0.7184684445272103,18,58.0,0.6166538053685606,5,0.5897459909248614,0.5509803441680331,0.9998530004533199,0.001337745585292666,0.049283563179196244,0.06359794211462279,0.12251655629139074
DE,41.0,26.0,0.8039108022985473,11,15.0,0.7069772188072895,4,0.6170005506744607,0.5975652425708529,0.9450499968603887,0.02210915554417226,-0.022650724753372597,0.09985475988550688,-0.08536585365853655
FL,85.0,19.0,0.6363601477868805,3,66.0,0.6196578442849101,5,0.4375697068840786,0.43007627979520585,0.3198365669431492,0.291588624134091,-0.006548548232729434,0.1516100020034508,-0.00588235294117645
GA,178.0,75.0,0.872430621367184,52,103.0,0.8461754146187179,58,0.4566080275101735,0.45610507893462243,0.18597381613853198,0.16754817427866658,0.02444090192237436,-0.008132259586394831,0.011235955056179803
HI,19.0,15.0,0.7300387334016182,2,4.0,0.6815794814879158,1,0.6433822671090846,0.633223369317094,0.7130267344207784,0.14643488329598064,-0.039211589546205516,-0.0027091499923570283,-0.13157894736842102
IA,100.0,46.0,0.7945423212951314,23,54.0,0.6422876396451442,5,0.5586541423873824,0.5355328032364043,1.631373598914957e-05,0.0015130961136150735,0.07749940797629695,0.15730828477476477,0.14
ID,70.0,14.0,0.662037459053406,2,56.0,0.8399949152345256,30,0.2604115596230607,0.30012931933532644,0.9993498296876293,0.0004903582635425081,-0.0019692635195399655,-0.1791768807538786,0.0
IL,118.0,74.0,0.8264573676590206,42,44.0,0.6990119542811671,12,0.6305196543931879,0.5964360202400733,0.9994123457227708,0.0007957694322917082,0.04283098972433619,0.1339206647185791,0.05932203389830509
IN,100.0,33.0,0.8509482718173411,22,67.0,0.7055358736002356,11,0.4781038943875647,0.4502396481347673,6.851051023770547e-05,0.006875302031413608,0.08151219765858397,0.12620778877512945,0.15000000000000002
KS,125.0,45.0,0.8745772096231068,32,80.0,0.814650158864149,41,0.433471693791263,0.4156748065737933,0.05675963211768332,0.06642318771020242,0.024362782900173907,0.006943387582525958,0.028000000000000025
KY,100.0,39.0,0.6835056975583871,7,61.0,0.6737794616299418,8,0.4655617504535064,0.4618898613360244,0.3829659606506429,0.3912449483021277,0.018926007377094878,0.041123500907012694,0.020000000000000018
MD,67.0,42.0,0.7832637975602114,13,25.0,0.6789580371472098,4,0.6107929637141587,0.625196591823729,0.9925390716583364,0.0039078117118156765,-0.013255269495898059,0.09472025578652633,-0.007462686567164201
MI,110.0,52.0,0.7036480621877244,0,58.0,0.6054072238607522,0,0.5406916386348911,0.5237614296208523,1.3110812182958757e-06,8.005517686469983e-05,0.05164803872294954,0.10865600454250958,0.08181818181818185
MN,134.0,75.0,0.673370898267389,3,59.0,0.6219847806427848,1,0.5433262336726106,0.5457183079315264,0.994466258666917,0.08546008725256748,0.021990509196945784,0.026950974807908343,0.05223880597014924
MO,163.0,47.0,0.8616080898936319,28,116.0,0.7176963425770763,18,0.44934235881018314,0.440691121326017,1.928355697051996e-07,2.13357788481634e-05,0.06484378980136352,0.11034115933815762,0.16871165644171782
