State,n_seats,seats_d,avg_win_d,n_uncontested_d,seats_r,avg_win_r,n_uncontested_r,voteshare_d,weighted_voteshare,t_test_p,non_parametric_p,mean_median_diff,efficiency_gap,partisan_bias
AR,36.0,7.0,0.7484563754763334,3,29.0,0.7145540275585852,8,0.3754757730315378,0.39559573685337607,0.34515653404461133,0.4196674247629033,-0.04355409778202873,0.0565071016186311,-0.08333333333333337
CA,80.0,55.0,0.7841843061768937,16,25.0,0.6794902598518356,5,0.6392860042929158,0.6129286331103753,0.9954374549157696,0.00040117270513378544,-0.022162522169916765,0.09107200858583156,-0.07499999999999996
CO,65.0,37.0,0.6688089631598633,6,28.0,0.7414236457611013,7,0.49209337777852474,0.492579176285494,0.042410531512211684,0.007064425848783998,-0.05140552999999176,-0.08504401367371969,-0.0692307692307692
CT,151.0,79.0,0.7427958825754292,19,72.0,0.7414958127597766,26,0.5118753391043377,0.4760490966117238,0.5165761181376068,0.47365833385315403,0.001278878540649675,0.0005718702616556226,0.0033112582781457123
DE,41.0,25.0,0.8859957738207928,17,16.0,0.7760567572272571,6,0.6276338104849684,0.6013581448794267,0.9709405256561451,0.025098569594359056,-0.00788468018425037,0.14551152340896115,-0.060975609756097615
FL,78.0,19.0,0.7403784947481394,7,59.0,0.6891413279518034,15,0.41548529552638797,0.4106461543454681,0.1592832839799865,0.26055457679399263,-0.01139951086346308,0.08738084746303211,-0.05128205128205132
GA,180.0,62.0,0.9385306505701428,51,118.0,0.9378207074471617,98,0.36403364920324305,0.35638643879737675,0.487515110893895,0.46263219975421827,0.36403364920324316,-0.11637714603795818,0.09444444444444444
HI,30.0,26.0,0.7448683607303975,4,4.0,0.6676984169176425,0,0.6898594570439923,0.6739199712740411,0.8687556698274118,0.08468523152023122,-0.018494188945687773,0.013052247421317482,-0.09999999999999998
IA,100.0,41.0,0.7935412045677394,20,59.0,0.7157283938040084,14,0.4930721415284082,0.46859239182871526,0.02145594975290945,0.0953572100118873,0.06505205827302774,0.07614428305681614,0.09000000000000002
ID,35.0,7.0,0.6482243005645767,1,28.0,0.8011262850181018,10,0.2887438320984339,0.30768349073535045,0.9835301535501849,0.006343474170461276,0.0003374412750009048,-0.12251233580313224,0.01428571428571429
IL,118.0,67.0,0.8737511562359945,44,51.0,0.8097981346575607,27,0.5783188355955594,0.5395459191939533,0.9602070461558024,0.039482260496633295,-0.008601887267335129,0.08884106102162764,-0.008474576271186418
IN,100.0,30.0,0.8148112888898259,16,70.0,0.7509042148338494,18,0.418810436283253,0.3985083005205822,0.04931280863507117,0.20036996192618345,0.06950276196365573,0.03762087256650609,0.13
KS,125.0,40.0,0.7753063315622163,19,85.0,0.7712972730462136,32,0.40361588042848395,0.3828207400679714,0.4583112054442689,0.27233925092606753,0.014266873393129098,-0.012768239143032049,0.035999999999999976
KY,100.0,36.0,0.7159582430205401,11,64.0,0.7625228489908338,25,0.4097303441332606,0.3995550225934579,0.8631896214610271,0.06868966153818916,-0.018210409112227155,-0.04053931173347863,-0.040000000000000036
MA,160.0,125.0,0.9550498233913279,108,35.0,0.7952037372330395,18,0.7909318570047476,0.7598429085958152,0.999999971836655,6.636993596691784e-07,-0.20906814299525234,0.3006137140094953,-0.19999999999999996
MI,110.0,47.0,0.7068754077012727,0,63.0,0.6275958738399894,0,0.5153145828185497,0.5008846901544133,4.1736904878448174e-05,0.0029315827787143025,0.05595435324833786,0.1033564383643726,0.08181818181818185
MN,133.0,57.0,0.6699619858111558,3,76.0,0.628629641251095,2,0.4993381989184413,0.49381776836834046,0.014707808541613354,0.08735607510101367,0.04053166575097855,0.07010496926545376,0.07142857142857145
MO,163.0,46.0,0.8850699832626663,31,117.0,0.8508726651831076,66,0.3568166711880925,0.3457633800166444,0.1364388311471979,0.17896932851784403,0.05946137597872003,-0.06857524658087018,0.07055214723926378
MT,100.0,41.0,0.742116749519372,16,59.0,0.7221481347046705,6,0.46820046782718694,0.4435488907024869,0.28164790286977415,0.31592744806748196,0.05984006095644434,0.026400935654373577,0.03999999999999998
NC,120.0,46.0,0.8685921078090825,31,74.0,0.7723843974782014,29,0.4733232628819241,0.4729700578984384,0.004719258978102154,0.010337706295756886,0.05303423623984588,0.06331319243051511,0.08333333333333331
NM,70.0,38.0,0.8783985726458332,27,32.0,0.7832541491031829,15,0.5759287569891404,0.5468176536492153,0.9710881479294258,0.035091285624850005,0.0578093018291872,0.10900037112113746,0.04285714285714287
NV,42.0,27.0,0.6603879341169413,3,15.0,0.7882472185348509,7,0.5001610938841584,0.46385960190681436,0.01423794373246466,0.0351273003175785,-0.04845279998286611,-0.1425349550888258,-0.1428571428571429
NY,99.0,84.0,0.9042286989871028,44,15.0,0.6733687761373538,2,0.8167139300288518,0.7730933387724956,0.9999999901024875,3.2185569481821376e-06,-0.11216826887004927,0.2849430115728546,-0.16666666666666663
OH,99.0,33.0,0.7562670424907076,8,66.0,0.7551434787565903,19,0.4153266949925092,0.4087845379060612,0.48741771964660285,0.46265859564902856,0.034630188603558765,-0.002679943348315023,0.10606060606060608
OK,73.0,17.0,0.6297694250258223,1,56.0,0.6767975959045097,2,0.39459472403817036,0.3834699969122037,0.9424282719428141,0.006452798549699228,0.0374979795947506,0.05631273574757355,0.07534246575342468
OR,60.0,35.0,0.7446548102377712,12,25.0,0.7476728446072158,8,0.5395182873856934,0.5384723940635953,0.47627450685527684,0.4153095291195166,0.0019271029590171018,-0.004296758561946697,0.0
PA,203.0,82.0,0.8450780789175436,47,121.0,0.7877893208538033,51,0.4678516977730462,0.4624592934105558,0.017759137483407565,0.028400174807742536,0.06329735391014057,0.03176250884658484,0.07635467980295568
SC,124.0,44.0,0.9179578245356352,34,80.0,0.9087040272967437,58,0.3846275975470037,0.3571776989473279,0.37517350951535966,0.35315186370687346,0.09682979345608306,-0.08558351458341198,0.10483870967741937
TN,99.0,25.0,0.8732672921452732,17,74.0,0.8291621544068201,31,0.34821901896492075,0.3227303658578475,0.12978513747834516,0.10270381208470158,0.07953743876501596,-0.05608721459541104,0.16666666666666669
TX,150.0,55.0,0.8973680004984816,38,95.0,0.8593961895360122,60,0.41808401347663576,0.36827735250091576,0.11009700351407976,0.1264095728850702,0.018641189994328122,-0.030498639713395097,0.03999999999999998
UT,75.0,13.0,0.7864202169640554,6,62.0,0.7943192665598288,22,0.30634224391764425,0.3050333921358632,0.5558271990178723,0.42869910456379806,0.033344702324825226,-0.060648845498044515,0.06
WI,99.0,35.0,0.9243593250598154,28,64.0,0.7425423191607488,21,0.49323098940207694,0.46786559865025645,1.8001874881186156e-06,5.6480283736984084e-05,0.09860520634899417,0.1329266252688004,0.14646464646464646
WY,60.0,9.0,0.7979760482414039,5,51.0,0.7792502930143836,10,0.3073336581739843,0.2953271833778774,0.38234094835421467,0.33822727330504665,0.07932911923250396,-0.03533268365203147,0.04999999999999999
