State,n_seats,seats_d,avg_win_d,n_uncontested_d,seats_r,avg_win_r,n_uncontested_r,voteshare_d,weighted_voteshare,t_test_p,non_parametric_p,mean_median_diff,efficiency_gap,partisan_bias
AK,10.0,3.0,0.8557273821650152,2,7.0,0.8708767422740659,5,0.3471044950576586,0.31083510377512663,0.5371185406293756,0.5,0.1278403940000793,-0.1057910098846829,0.0
AZ,30.0,13.0,0.845909109336566,8,17.0,0.7356026550564627,6,0.5163857761805164,0.4567787583653461,0.07923381222705833,0.07258495888476821,0.03775858340622701,0.09943821902769938,0.09999999999999998
CA,20.0,16.0,0.7593856468225988,6,4.0,0.5760500065990479,0,0.6922985161382694,0.642282811617423,0.9545255722193539,0.03823456192224934,0.0642833615034607,0.08459703227653889,0.15000000000000002
CO,18.0,10.0,0.7100015817747329,1,8.0,0.6454712624498331,1,0.552013651008259,0.5454726740103195,0.7798211414159346,0.26687641877848417,0.029813604363354118,0.04847174646096272,0.05555555555555558
CT,36.0,18.0,0.697226281484436,3,18.0,0.6149196234030434,1,0.5411533290406965,0.5104156928682985,0.953973720493516,0.15550922532256806,0.04298143930549464,0.08230665808139243,0.02777777777777779
DE,11.0,6.0,0.7801276724788253,3,5.0,0.7648088321217196,2,0.5324292612967595,0.5242127961969173,0.5415064601771689,0.461862459199024,0.010428907877427451,0.01940397713897347,0.04545454545454547
FL,25.0,9.0,0.689456668377918,2,16.0,0.7338600525773198,6,0.4185339669665658,0.4124267690838955,0.6956996865541071,0.46560334301008777,-0.03904432346027037,-0.022932066066868515,-0.09999999999999998
GA,56.0,18.0,0.9464645209481607,14,38.0,0.9145817064139867,29,0.36218315238098925,0.35929428211269526,0.22244534684587286,0.33044335457917084,0.36218315238098914,-0.09706226666659301,0.10714285714285715
HI,9.0,9.0,0.8189693759019336,4,0.0,N/A,0,0.8189693759019336,0.7807900742593495,-1.0,,0.0050361551382756,0.13793875180386742,0.05555555555555558
IA,25.0,6.0,0.6529999807361144,1,19.0,0.7033751734278604,5,0.3821548635714936,0.3928413464772846,0.7173973792080565,0.24050709786597674,-0.01810895471561791,0.024309727142987184,-0.06000000000000005
ID,35.0,6.0,0.7146532081986519,2,29.0,0.8307593165336914,13,0.2627399734204247,0.2778820763336066,0.9233926977869993,0.06333387859736019,0.0011999249393271905,-0.14594862458772206,0.01428571428571429
IL,40.0,26.0,0.882874069538395,19,14.0,0.8250580029855348,8,0.6350978441550195,0.594536955358112,0.8021908489302816,0.2424482599200936,0.00815562772268641,0.12019568831003902,0.0
IN,25.0,6.0,1.0,6,19.0,0.7431221335167698,5,0.435227178527255,0.4104520367035704,0.000623637876319037,0.0028907015393062467,0.0799141014750474,0.13045435705450995,0.21999999999999997
KS,40.0,9.0,0.7611228671806537,4,31.0,0.6509803550346538,0,0.4417428699637906,0.4188458351602294,0.020401871045285257,0.2280466912669168,0.037094210735415856,0.1584857399275811,0.125
KY,19.0,8.0,0.9325384830250497,6,11.0,0.8853854694388957,7,0.4590035631775024,0.4388499959305824,0.25721519140022875,0.32622224226275487,0.13441093455427394,-0.0030455052239425876,0.07894736842105265
MA,40.0,34.0,0.8996317770682789,24,6.0,0.8001421136124254,3,0.7946656934661733,0.7614879447310691,0.8999228614356484,0.11390074944415829,-0.20533430653382678,0.23933138693234643,-0.125
ME,35.0,17.0,0.6423230435922431,2,18.0,0.64994448593402,2,0.4920140284073079,0.49136949364134547,0.5591915203262785,0.3643728252094551,0.009536228970443983,-0.0016862288996700313,0.01428571428571429
MN,67.0,33.0,0.6507237198686435,2,34.0,0.624462542372274,0,0.5110769599254912,0.5058572185684252,0.16545537560142115,0.437714320834826,0.013010601319299597,0.02961660641814678,0.03731343283582089
MO,18.0,7.0,0.8267632810191194,4,11.0,0.7736469327296273,4,0.45984592817266307,0.45275392433443473,0.2992144738694422,0.3178081719982977,0.07135970279690451,0.030802967456437475,0.05555555555555558
MT,25.0,9.0,0.6651483477246518,2,16.0,0.741870360207284,4,0.4046563746482129,0.40328999734677634,0.8368613262983832,0.0812864237893034,-0.02704476875756523,-0.05068725070357427,-0.020000000000000018
NC,50.0,15.0,0.8344810264031471,6,35.0,0.7400645495876699,12,0.43229912320957536,0.44113879823830704,0.05140336210950188,0.012770910990358398,0.015685947435260417,0.06459824641915063,0.08000000000000002
ND,23.0,4.0,0.5307174088018092,0,19.0,0.7184341398107336,4,0.32489656429579555,0.32065231095085606,0.9768199206937034,0.010241326931423947,-0.019956929318028616,-0.024119914886669817,-0.06521739130434778
NH,24.0,10.0,0.5924589328665114,0,14.0,0.566331285209631,0,0.49983130565542827,0.4967887922896158,0.10585473077032623,0.1150003432325139,0.01719468792365897,0.08299594464418995,0.08333333333333331
NM,42.0,26.0,0.8677370844598179,18,16.0,0.8125494820176424,9,0.608580297230309,0.5960473365725698,0.7909591813068074,0.22046562481817622,0.0315469886601476,0.0981129754129993,0.023809523809523836
NV,11.0,8.0,0.6962891881074373,2,3.0,0.7075163051403698,1,0.5861604172216718,0.5548623485752587,0.46947251680152857,0.4589803915055516,-0.02592359805383282,-0.05495189282938365,-0.045454545454545414
NY,63.0,32.0,0.8787968326920862,15,31.0,0.7225499580169745,8,0.5828960309146116,0.555938836589086,0.9997033767718908,0.0013715862773498752,0.08174907436746226,0.15785555389271577,0.03968253968253971
OH,16.0,2.0,0.5879822758659587,0,14.0,0.719378574314072,3,0.3190415319584318,0.333759218947984,0.8604678199923892,0.06516065664082388,-0.022697576186661184,0.013083063916863591,-0.1875
OK,19.0,0.0,N/A,0,19.0,0.6796148810784054,2,0.3203851189215948,0.33103324091006037,-1.0,,-0.024360224193461122,0.14077023784318973,-0.13157894736842102
OR,16.0,7.0,0.8682451341725338,5,9.0,0.7236676930179821,2,0.5352941688778685,0.5348338207713014,0.08351496234836117,0.1599921088005058,0.09030867466085368,0.13308833775573725,0.125
PA,25.0,9.0,0.8749646356789055,6,16.0,0.783146508343282,7,0.4537735035047055,0.46440122777163684,0.14278588689769295,0.14268245600831347,0.032503157370579516,0.04754700700941093,0.020000000000000018
RI,38.0,33.0,0.9022440418373101,25,5.0,0.7270285427534581,2,0.8194450175490511,0.7588773801470506,0.968395588549968,0.029579612560973287,-0.18055498245094892,0.2704689824665233,-0.1842105263157895
SC,46.0,18.0,0.8317040433287198,11,28.0,1.0,28,0.32544940825906427,0.30070913679935235,0.9999126242864005,0.0002233114690417075,0.3254494082590642,-0.24040553130795853,0.10869565217391303
SD,35.0,6.0,1.0,6,29.0,0.7535069801968151,9,0.37566564497978183,0.34529976499619985,0.0009454048872441699,0.003335861935427161,0.027843446607543176,0.07990271853099214,0.07142857142857145
TN,16.0,1.0,1.0,1,15.0,0.8809483193203391,10,0.17411095063718207,0.17716166811094075,-1.0,,0.17411095063718207,-0.21427809872563586,0.125
TX,16.0,8.0,0.8996193479884393,6,8.0,0.9285192604170116,6,0.48555004378571387,0.4057326516701974,0.6370889869866021,0.4180229000683567,0.04758236620281486,-0.028899912428572233,0.0
UT,15.0,1.0,0.5881745289979832,0,14.0,0.7945560201490417,5,0.23095934979409335,0.23349984158633735,-1.0,,-0.06640371542137433,-0.1047479670784799,-0.033333333333333326
WA,26.0,13.0,0.81366294889996,7,13.0,0.8416054521255268,8,0.48602874838721644,0.498491127714219,0.6296639799395405,0.38776225341616233,-0.001212705066752029,-0.02794250322556687,0.0
WI,16.0,7.0,0.8590508267627966,5,9.0,0.7294686925111241,3,0.5280085971712163,0.5083282066934047,0.13302757073217067,0.26701824465873003,0.06918959502006738,0.11851719434243235,0.1875
WV,17.0,6.0,0.5620707572344837,0,11.0,0.563630918215663,0,0.4807343790020358,0.478095012161709,0.5213371117055456,0.3625079162429368,-0.008206307369715893,0.10852758153348348,-0.08823529411764708
WY,15.0,1.0,1.0,1,14.0,0.8114728575173143,4,0.2426253329838399,0.23539676462994452,-1.0,,0.035742852026277305,-0.081416000698987,0.16666666666666669
