State,n_seats,seats_d,avg_win_d,n_uncontested_d,seats_r,avg_win_r,n_uncontested_r,voteshare_d,weighted_voteshare,t_test_p,non_parametric_p,mean_median_diff,efficiency_gap,partisan_bias
AK,1.0,0.0,N/A,0,1.0,0.533063086789713,0,0.4669369132102869,0.4669369132102869,-1.0,,0.0,0.43387382642057387,0.5
AL,7.0,1.0,1.0,1,6.0,0.6643278773004813,0,0.4305761051710161,0.4102255528208005,-1.0,,0.0625640286534086,0.21829506748488928,0.35714285714285715
AR,4.0,0.0,N/A,0,4.0,0.6459723480595845,0,0.35402765194041547,0.3600274698412662,-1.0,,0.027093460336753417,0.20805530388083096,0.25
AZ,9.0,5.0,0.6665533741886185,0,4.0,0.5979069616932007,0,0.5490154471300323,0.5085479429605239,0.7421122914269317,0.4512616250888397,0.010567788272184853,0.042475338704508876,0.16666666666666669
CA,53.0,46.0,0.7237271048912974,8,7.0,0.6195314311728181,1,0.6783910718262255,0.6684371897123802,0.94205797824532,0.020630646348499707,-0.010126706523167939,-0.011142384649435533,-0.028301886792452824
CO,7.0,4.0,0.6480485246751441,0,3.0,0.5800050782248659,0,0.5503112662894255,0.5543625357668626,0.873672370139964,0.10796246947007015,-0.007600152461540777,0.02919396115027955,-0.0714285714285714
CT,5.0,5.0,0.6199038303554606,0,0.0,N/A,0,0.6199038303554606,0.6200193888143477,-1.0,,-0.016956849837584498,-0.26019233928907876,-0.09999999999999998
DE,1.0,1.0,0.6445396995495227,0,0.0,N/A,0,0.6445396995495227,0.6445396995495227,-1.0,,0.0,-0.21092060090095455,0.5
FL,27.0,13.0,0.7446311198344814,5,14.0,0.6051448375568815,0,0.5632658085945155,0.4736357219158517,0.012670707800938662,0.14766240429348332,0.09347119400738768,0.1450501357075493,0.09259259259259262
GA,14.0,5.0,0.7303908960819654,1,9.0,0.6816787306572857,1,0.4654889931781611,0.4772815750543445,0.3028124158943234,0.369302884758139,0.05157258767433953,0.07383512921346533,0.07142857142857145
