Year,State,r_avg_win,d_avg_win
1948,AL,,0.936431287
1948,AR,,1
1948,AZ,,0.614873615
1948,CA,0.857725638,0.707550919
1948,CO,0.519101172,0.55799325
1948,CT,0.526859278,0.524297573
1948,DE,0.507919392,
1948,FL,,0.849113348
1948,GA,,1
1948,IA,0.5465061,
1948,ID,0.511118844,0.530832861
1948,IL,0.565350183,0.614179573
1948,IN,0.527304493,0.540387259
1948,KS,0.575758382,
1948,KY,0.766705024,0.672528988
1948,LA,,0.958034554
1948,MA,0.69044091,0.778656656
1948,MD,0.538495133,0.629563824
1948,ME,0.668548051,
1948,MI,0.594408986,0.663696662
1948,MN,0.57265257,0.58101583
1948,MO,0.539591355,0.60418107
1948,MS,,1
1948,MT,0.51006801,0.682241304
1948,NC,,0.743483137
1948,ND,1,
1948,NE,0.6188267,0.514272892
1948,NH,0.568587821,
1948,NJ,0.568576129,0.591530117
1948,NM,,0.587139318
1948,NV,,0.50648156
1948,NY,0.669978034,0.66567743
1948,OH,0.583241508,0.612180506
1948,OK,,0.697885803
1948,OR,0.626400056,
1948,PA,0.598483485,0.578112331
1948,RI,,0.60836884
1948,SC,,0.973353729
1948,SD,0.597261868,
1948,TN,0.790037306,0.844381697
1948,TX,,0.954826212
1948,UT,,0.582490744
1948,VA,,0.727804086
1948,VT,0.607962706,
1948,WA,0.543067556,0.577108902
1948,WI,0.636265905,0.56426872
1948,WV,,0.582817153
1948,WY,0.515246655,
1950,AL,,0.99301457
1950,AR,,1
1950,AZ,,0.648376944
1950,CA,0.758622075,0.783396923
1950,CO,0.547204184,0.541467116
1950,CT,0.526962059,0.551539904
1950,DE,0.566543538,
1950,FL,,0.931108727
1950,GA,,1
1950,IA,0.613001747,
1950,ID,0.538002278,
1950,IL,0.606742637,0.616022832
1950,IN,0.550970751,0.520714297
1950,KS,0.58798341,
1950,KY,0.777667456,0.828449506
1950,LA,,1
1950,MA,0.645448393,0.718677121
1950,MD,0.565634924,0.603652631
1950,ME,0.581857625,
1950,MI,0.617864137,0.644695915
1950,MN,0.625737161,0.577909073
1950,MO,0.534470616,0.623582014
1950,MS,,0.978568229
1950,MT,0.546900898,0.608849439
1950,NC,,0.775487432
1950,ND,0.713379617,
1950,NE,0.626968808,
1950,NH,0.609893942,
1950,NJ,0.610409809,0.56021567
1950,NM,,0.574958426
1950,NV,,0.527831189
1950,NY,0.629778249,0.686010079
1950,OH,0.688996249,0.615925099
1950,OK,0.53521684,0.683478356
1950,OR,0.587865722,
1950,PA,0.586957113,0.570740562
1950,RI,,0.619656125
1950,SC,,1
1950,SD,0.605362543,
1950,TN,0.58389441,1
1950,TX,,0.950466274
1950,UT,,0.522432481
1950,VA,,0.86050083
1950,VT,0.741817024,
1950,WA,0.582476278,0.566539533
1950,WI,0.6096359,0.608774205
1950,WV,,0.565826252
1950,WY,0.544896516,
1952,AL,,0.955433763
1952,AR,,0.893589268
1952,AZ,0.540159501,0.568749701
1952,CA,0.755990066,0.784977153
1952,CO,0.604387498,0.505638146
1952,CT,0.560968871,0.539680399
1952,DE,0.519277711,
1952,FL,,0.792187566
1952,GA,,1
1952,IA,0.685388761,
1952,ID,0.661664708,0.502714521
1952,IL,0.613578319,0.612345527
