State,District,ai,american,bernie sanders independent,common sense independent,conservative,constitution,dem/working fmly,democrat,democrat/progressive,democratic farmer labor,democratic/republican,for your town,gop/independent,great independent,green,green-rainbow,independence,independent,independent american,independent dem,independent dem.,independent democrat,independent gop,independent non-partisan,independent party of delaware,independent progressive liberal,independent rep,legal marijuana now,libertarian,liberty union,marijuana,mountain,nip-new ideas,no affiliation,no party preference,nominated by petition,non-partisan,non-party,nonaffiliated,nonpartisan,pacific green,petitioning candidate,pirate,progressive,progressive/democrat,reform,republican,rpp-roberts,socialist equality party,stand up to bullies,the integrity party,turtle,unaffiliated,unenrolled,united independent,us taxpayers,usa minutemen,veterans party of america,woman's equality,working families,winner
AK,District 22,730,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,3561.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,3375.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,independent
AK,District 36,0,0,0,0,396,0,0,0.0,0,0,0.0,0,0,0,0,0,0,4109.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,3319.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,independent
ME,District 10,0,0,0,0,0,0,0,1913.0,0,0,0.0,0,0,0,0,0,0,8445.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,7370.5,0,0,0,0,0,0,0.0,0,0,0,0,0,0,independent
ME,District 82,0,0,0,2692,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2379.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,common sense independent
ME,District 94,0,0,0,0,0,0,0,3067.0,0,0,0.0,0,0,0,0,0,0,3079.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,independent
NH,Merrimack District 5 (2),0,0,0,0,0,0,0,1985.0,0,0,0.0,0,0,0,0,0,0,3488.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2498.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,independent
VT,District Addison 1,0,0,0,0,0,0,0,1938.0,2211,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1378,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,democrat/progressive
VT,District Addison-Rutland,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1722.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,independent
VT,District Caledonia,0,0,0,0,0,0,0,0.0,0,0,11645.5,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,2443,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,democratic/republican
VT,District Chittenden,0,0,0,0,0,0,0,39758.333333333336,40875,0,0.0,0,0,0,0,0,0,17021.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31192.0,0,25346.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,democrat/progressive
VT,District Chittenden 6-4,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1598.5,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,progressive/democrat
VT,District Franklin 2,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1194.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1136.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,independent
VT,District Franklin 7,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,935.0,0,920.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,progressive/democrat
VT,District Grand Isle,0,0,0,0,0,0,0,0.0,0,0,9771.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,democratic/republican
VT,District Lamoille 3,0,0,0,0,0,0,0,0.0,0,0,2058.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,democratic/republican
VT,District Orange-Washington-Addison,0,0,0,0,0,0,0,1755.0,0,0,0.0,0,0,0,0,0,0,2064.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1405.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,independent
VT,District Orleans 1,0,0,0,0,0,0,0,0.0,0,0,2607.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2244.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,democratic/republican
VT,District Rutland-Bennington,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1251.0,0,1153.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,progressive/democrat
VT,District Washington 2,0,0,0,0,0,0,0,0.0,0,0,2945.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1228.0,0,2488.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,democratic/republican
VT,District Washington 3,0,0,0,0,0,0,0,0.0,0,0,1728.0,0,0,0,0,0,0,1627.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1487.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,democratic/republican
VT,District Windham 1,0,0,0,0,0,0,0,0.0,0,0,1919.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,democratic/republican
VT,District Windham 2-2,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,321.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1445.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,progressive/democrat
VT,District Windham-Bennington,0,0,0,0,0,0,0,897.0,0,0,0.0,0,0,0,0,0,0,1152.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,independent
